Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2019,4,Santiago Del Estero,133,908,34911,56309,3756,105,2449,5017,103588,9.79,,
2019,4,Tierra Del Fuego,11,0,23593,5050,1848,139,1962,7789,40392,7.27,,
2019,4,Tucumán,55,0,54544,52017,28916,6405,56707,0,198644,29.87,,
2019,3,Buenos Aires,238920,44648,1432722,222812,260506,483572,1246209,42294,3971683,25.68,,
2019,3,Capital Federal,104,368,269704,120924,138011,258591,655108,0,1442810,38.71,,
2019,3,Catamarca,34,43,14449,9285,6333,72,15,2151,32382,9.29,,
2019,3,Chaco,69,1216,32764,28198,13336,12987,16740,6917,112227,19.99,,
2019,3,Chubut,74,840,62680,13033,7171,1240,614,4500,90152,6.97,,
2019,3,Córdoba,83,5824,240151,106651,118486,146247,157546,7353,782341,23.19,,
2019,3,Corrientes,10,597,42231,29628,10348,10388,12674,4780,110656,16.7,,
2019,3,Entre Ríos,19,4446,99656,56161,17064,21216,22645,15107,236314,14.7,,
2019,3,Formosa,1110,349,24943,6049,7117,2262,4443,100,46373,13.22,,
2019,3,Jujuy,27,885,31722,9240,26835,56,3671,16545,88981,11.97,,
2019,3,La Pampa,237,3289,75849,5922,1611,1359,941,1618,90826,5.72,,
